store_name,address,rating,review_count,google_maps_url,place_id
車麗屋汽車百貨八德店、萬通代驗廠、（電動機車充電站）,334台灣桃園市八德區介壽路一段666號,4.5,3472,https://maps.google.com/?cid=12463776427642178658&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJBZLOKCwfaDQRYsx_AaA6-Kw
車麗屋汽車百貨蘆洲店,247台灣新北市蘆洲區集賢路407號,4.5,3419,https://maps.google.com/?cid=7647780510934964009&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJvSWt19GoQjQRKRdv4tpfImo
車麗屋汽車百貨 基隆店,202台灣基隆市中正區中正路58號,4.6,3279,https://maps.google.com/?cid=18401781099130838814&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJJ6Of_UBOXTQRHt8wsGlCYP8
車麗屋汽車百貨 內湖店,114台灣臺北市內湖區內湖路一段366號,4.4,3240,https://maps.google.com/?cid=15931865271511672363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ58cyiGWsQjQRK-bVxQ1bGd0
車麗屋汽車百貨 中壢店,320台灣桃園市中壢區中華路二段66號,4.6,3111,https://maps.google.com/?cid=7124956345974462914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJZ9y6GxkiaDQRwhn5CQzu4GI
車麗屋汽車百貨 板橋店,220台灣新北市板橋區中山路一段277號,4.2,3059,https://maps.google.com/?cid=4315060902630941582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJX3B29SKoQjQRjmN-XQct4js
車麗屋汽車百貨 楊梅店,32668台灣桃園市楊梅區梅獅路二段18號,4.8,2966,https://maps.google.com/?cid=12849085325372472960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJo237bxUjaDQRgL6CqwYfUbI
車麗屋汽車百貨 新營店,730台灣臺南市新營區民生路172號,4.8,2820,https://maps.google.com/?cid=7041981595306206387&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJ6RxWO9CFbjQRs6QQb_MkumE
車麗屋汽車百貨 台中崇德店,406台灣臺中市北屯區崇德二路二段225號,4.4,2504,https://maps.google.com/?cid=11843757382616082973&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJMUkyLE4WaTQRHeq9rJZ6XaQ
POINTS車麗屋汽車百貨 鳳山店,830台灣高雄市鳳山區五甲一路261號,4.3,2389,https://maps.google.com/?cid=16704397666339453503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,ChIJmah1jU8bbjQRP_oGgSzx0ec
